timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
1h,signal_close,1000.0,400.0,fixed_rr,2.0,1,1,0,100.0,2000.0,2000.0,inf,0.0,12.0,1,0
1h,next_open,1000.0,400.0,fixed_rr,2.0,1,1,0,100.0,2000.0,2000.0,inf,0.0,11.0,1,0
1h,signal_close,400.0,300.0,fixed_rr,3.0,3,2,1,66.67,2000.0,666.67,6.0,-400.0,11.33,2,1
1h,next_open,400.0,300.0,fixed_rr,3.0,3,2,1,66.67,2000.0,666.67,6.0,-400.0,10.33,2,1
1h,signal_close,1000.0,300.0,fixed_rr,1.5,3,2,1,66.67,2000.0,666.67,3.0,-1000.0,28.67,2,1
1h,next_open,1000.0,300.0,fixed_rr,1.5,3,2,1,66.67,2000.0,666.67,3.0,-1000.0,27.67,2,1
1h,signal_close,600.0,400.0,fixed_rr,3.0,1,1,0,100.0,1800.0,1800.0,inf,0.0,11.0,1,0
1h,next_open,600.0,400.0,fixed_rr,3.0,1,1,0,100.0,1800.0,1800.0,inf,0.0,10.0,1,0
1h,signal_close,600.0,300.0,fixed_rr,2.0,3,2,1,66.67,1800.0,600.0,4.0,-600.0,12.0,2,1
1h,next_open,600.0,300.0,fixed_rr,2.0,3,2,1,66.67,1800.0,600.0,4.0,-600.0,11.0,2,1
1h,next_open,400.0,200.0,ema_low,,7,7,0,100.0,1637.71,233.96,inf,0.0,1.71,6,0
1h,next_open,500.0,200.0,ema_low,,7,7,0,100.0,1637.71,233.96,inf,0.0,1.71,6,0
1h,next_open,600.0,200.0,ema_low,,7,7,0,100.0,1637.71,233.96,inf,0.0,1.71,6,0
1h,next_open,800.0,200.0,ema_low,,7,7,0,100.0,1637.71,233.96,inf,0.0,1.71,6,0
1h,next_open,1000.0,200.0,ema_low,,7,7,0,100.0,1637.71,233.96,inf,0.0,1.71,6,0
1h,signal_close,400.0,200.0,ema_low,,7,7,0,100.0,1634.21,233.46,inf,0.0,2.71,6,0
1h,signal_close,500.0,200.0,ema_low,,7,7,0,100.0,1634.21,233.46,inf,0.0,2.71,6,0
1h,signal_close,600.0,200.0,ema_low,,7,7,0,100.0,1634.21,233.46,inf,0.0,2.71,6,0
1h,signal_close,800.0,200.0,ema_low,,7,7,0,100.0,1634.21,233.46,inf,0.0,2.71,6,0
1h,signal_close,1000.0,200.0,ema_low,,7,7,0,100.0,1634.21,233.46,inf,0.0,2.71,6,0
1h,signal_close,400.0,50.0,fixed_rr,3.0,9,4,5,44.44,1611.5,179.06,1.806,-1200.0,9.44,3,5
1h,signal_close,400.0,100.0,fixed_rr,3.0,9,4,5,44.44,1611.5,179.06,1.806,-1200.0,9.44,3,5
1h,signal_close,400.0,150.0,fixed_rr,3.0,9,4,5,44.44,1611.5,179.06,1.806,-1200.0,9.44,3,5
1h,next_open,400.0,50.0,fixed_rr,3.0,9,4,5,44.44,1611.0,179.0,1.806,-1200.0,8.44,3,5
1h,next_open,400.0,100.0,fixed_rr,3.0,9,4,5,44.44,1611.0,179.0,1.806,-1200.0,8.44,3,5
1h,next_open,400.0,150.0,fixed_rr,3.0,9,4,5,44.44,1611.0,179.0,1.806,-1200.0,8.44,3,5
1h,signal_close,800.0,400.0,fixed_rr,2.0,1,1,0,100.0,1600.0,1600.0,inf,0.0,11.0,1,0
1h,next_open,800.0,400.0,fixed_rr,2.0,1,1,0,100.0,1600.0,1600.0,inf,0.0,10.0,1,0
1h,signal_close,800.0,300.0,fixed_rr,1.5,3,2,1,66.67,1600.0,533.33,3.0,-800.0,12.0,2,1
1h,next_open,800.0,300.0,fixed_rr,1.5,3,2,1,66.67,1600.0,533.33,3.0,-800.0,11.0,2,1
1h,signal_close,500.0,400.0,fixed_rr,3.0,1,1,0,100.0,1500.0,1500.0,inf,0.0,11.0,1,0
1h,signal_close,1000.0,400.0,fixed_rr,1.5,1,1,0,100.0,1500.0,1500.0,inf,0.0,11.0,1,0
1h,next_open,500.0,400.0,fixed_rr,3.0,1,1,0,100.0,1500.0,1500.0,inf,0.0,10.0,1,0
