entry_time,exit_time,entry,exit,stop_loss,take_profit,pnl,bars,reason
2025-08-27 19:00:00+00:00,2025-08-27 20:00:00+00:00,111905.0,111341.9963140481,112405.0,111341.9963140481,563.0036859519023,1,take_profit
2025-09-01 20:00:00+00:00,2025-09-01 20:00:00+00:00,109190.0,108621.3175912043,109690.0,108621.3175912043,568.6824087957066,0,take_profit
2025-09-02 01:00:00+00:00,2025-09-02 01:00:00+00:00,108992.5,109492.5,109492.5,108500.01042447523,-500.0,0,stop_loss
2025-09-02 08:00:00+00:00,2025-09-02 11:00:00+00:00,110202.0,109836.14498858913,110702.0,109836.14498858913,365.8550114108657,3,take_profit
2025-09-02 16:00:00+00:00,2025-09-02 18:00:00+00:00,110800.5,110154.91116882596,111300.5,110154.91116882596,645.5888311740418,2,take_profit
2025-09-02 22:00:00+00:00,2025-09-03 00:00:00+00:00,111078.0,111578.0,111578.0,110810.9412212095,-500.0,2,stop_loss
2025-09-03 17:00:00+00:00,2025-09-03 17:00:00+00:00,111817.5,112317.5,112317.5,111445.92076680179,-500.0,0,stop_loss
2025-09-03 19:00:00+00:00,2025-09-03 23:00:00+00:00,111960.5,111675.09148901331,112460.5,111675.09148901331,285.40851098668645,4,take_profit
2025-09-05 00:00:00+00:00,2025-09-05 02:00:00+00:00,110691.0,111191.0,111191.0,110442.3941836606,-500.0,2,stop_loss
2025-09-10 11:00:00+00:00,2025-09-10 12:00:00+00:00,112249.0,112749.0,112749.0,111996.07035992309,-500.0,1,stop_loss
2025-09-10 18:00:00+00:00,2025-09-10 19:00:00+00:00,113705.5,113182.2850571992,114205.5,113182.2850571992,523.2149428007979,1,take_profit
2025-09-11 15:00:00+00:00,2025-09-11 22:00:00+00:00,114411.0,114911.0,114911.0,114201.17204204202,-500.0,7,stop_loss
2025-09-12 02:00:00+00:00,2025-09-12 07:00:00+00:00,115340.5,115076.55328103452,115840.5,115076.55328103452,263.94671896548243,5,take_profit
2025-09-15 07:00:00+00:00,2025-09-15 08:00:00+00:00,116089.0,115344.30564808202,116589.0,115344.30564808202,744.6943519179767,1,take_profit
2025-09-18 00:00:00+00:00,2025-09-18 02:00:00+00:00,116419.5,116919.5,116919.5,116032.33361709399,-500.0,2,stop_loss
2025-09-18 06:00:00+00:00,2025-09-18 12:00:00+00:00,117240.5,116933.81951451852,117740.5,116933.81951451852,306.68048548148363,6,take_profit
2025-09-24 16:00:00+00:00,2025-09-24 17:00:00+00:00,113311.5,113811.5,113811.5,113045.16836148188,-500.0,1,stop_loss
2025-09-24 19:00:00+00:00,2025-09-24 22:00:00+00:00,113607.0,113216.4818475001,114107.0,113216.4818475001,390.51815249990614,3,take_profit
2025-09-26 19:00:00+00:00,2025-09-26 19:00:00+00:00,109680.0,109109.83754881326,110180.0,109109.83754881326,570.1624511867412,0,take_profit
2025-09-29 03:00:00+00:00,2025-09-29 08:00:00+00:00,111701.5,112201.5,112201.5,111571.78641053246,-500.0,5,stop_loss
2025-09-30 22:00:00+00:00,2025-10-01 04:00:00+00:00,114112.5,114612.5,114612.5,113986.11507067851,-500.0,6,stop_loss
2025-10-02 05:00:00+00:00,2025-10-02 12:00:00+00:00,118629.0,119129.0,119129.0,118484.82595839255,-500.0,7,stop_loss
2025-10-03 18:00:00+00:00,2025-10-03 18:00:00+00:00,122050.0,122550.0,122550.0,121014.51430357926,-500.0,0,stop_loss
2025-10-03 21:00:00+00:00,2025-10-04 01:00:00+00:00,122418.0,121831.70628551806,122918.0,121831.70628551806,586.2937144819443,4,take_profit
2025-10-05 09:00:00+00:00,2025-10-05 09:00:00+00:00,124593.5,123717.81625191192,125093.5,123717.81625191192,875.6837480880786,0,take_profit
2025-10-06 04:00:00+00:00,2025-10-06 05:00:00+00:00,123800.0,123277.22350315022,124300.0,123277.22350315022,522.7764968497795,1,take_profit
2025-10-06 15:00:00+00:00,2025-10-06 15:00:00+00:00,124476.0,124976.0,124976.0,124099.20297492745,-500.0,0,stop_loss
2025-10-06 20:00:00+00:00,2025-10-06 21:00:00+00:00,125370.5,124728.60948943411,125870.5,124728.60948943411,641.8905105658923,1,take_profit
2025-10-08 13:00:00+00:00,2025-10-08 13:00:00+00:00,122593.0,122005.47367362259,123093.0,122005.47367362259,587.5263263774104,0,take_profit
2025-10-08 19:00:00+00:00,2025-10-09 00:00:00+00:00,123400.0,122842.97063156634,123900.0,122842.97063156634,557.0293684336648,5,take_profit
2025-10-13 00:00:00+00:00,2025-10-13 00:00:00+00:00,114906.0,115406.0,115406.0,114198.43052616034,-500.0,0,stop_loss
2025-10-13 03:00:00+00:00,2025-10-13 04:00:00+00:00,115286.0,114505.91942429292,115786.0,114505.91942429292,780.0805757070775,1,take_profit
2025-10-13 09:00:00+00:00,2025-10-13 09:00:00+00:00,115201.0,114713.63224619451,115701.0,114713.63224619451,487.3677538054908,0,take_profit
2025-10-13 23:00:00+00:00,2025-10-13 23:00:00+00:00,115432.0,114989.685581371,115932.0,114989.685581371,442.314418629001,0,take_profit
2025-10-14 17:00:00+00:00,2025-10-14 17:00:00+00:00,112264.0,112764.0,112764.0,111283.89238470135,-500.0,0,stop_loss
2025-10-16 04:00:00+00:00,2025-10-16 04:00:00+00:00,111288.0,110764.72918512314,111788.0,110764.72918512314,523.2708148768579,0,take_profit
2025-10-17 17:00:00+00:00,2025-10-17 18:00:00+00:00,106345.0,106845.0,106845.0,105709.16575715419,-500.0,1,stop_loss
2025-10-17 23:00:00+00:00,2025-10-17 23:00:00+00:00,106922.0,106337.99880760592,107422.0,106337.99880760592,584.0011923940765,0,take_profit
2025-10-19 13:00:00+00:00,2025-10-19 13:00:00+00:00,107622.0,108122.0,108122.0,107060.14195826171,-500.0,0,stop_loss
2025-10-19 20:00:00+00:00,2025-10-19 23:00:00+00:00,108860.5,108496.0719971594,109360.5,108496.0719971594,364.4280028406065,3,take_profit
2025-10-22 16:00:00+00:00,2025-10-22 17:00:00+00:00,108387.0,107607.44191517946,108887.0,107607.44191517946,779.5580848205427,1,take_profit
2025-10-23 08:00:00+00:00,2025-10-23 08:00:00+00:00,109239.0,109739.0,109739.0,108655.09815034765,-500.0,0,stop_loss
2025-10-23 10:00:00+00:00,2025-10-23 12:00:00+00:00,109402.0,108869.66191475843,109902.0,108869.66191475843,532.3380852415721,2,take_profit
2025-10-23 20:00:00+00:00,2025-10-23 20:00:00+00:00,110148.5,109546.19785801286,110648.5,109546.19785801286,602.3021419871366,0,take_profit
2025-10-24 04:00:00+00:00,2025-10-24 04:00:00+00:00,110411.5,110911.5,110911.5,110060.1073325565,-500.0,0,stop_loss
2025-10-24 08:00:00+00:00,2025-10-24 11:00:00+00:00,111020.5,110700.52943336798,111520.5,110700.52943336798,319.9705666320224,3,take_profit
2025-10-27 03:00:00+00:00,2025-10-27 05:00:00+00:00,114825.0,115325.0,115325.0,114659.84319899726,-500.0,2,stop_loss
2025-10-27 08:00:00+00:00,2025-10-27 08:00:00+00:00,115532.5,114957.56666207696,116032.5,114957.56666207696,574.9333379230375,0,take_profit
2025-10-28 18:00:00+00:00,2025-10-28 19:00:00+00:00,115259.0,114283.28263322015,115759.0,114283.28263322015,975.7173667798488,1,take_profit
2025-10-30 09:00:00+00:00,2025-10-30 10:00:00+00:00,110660.5,109964.13075500634,111160.5,109964.13075500634,696.3692449936643,1,take_profit
2025-10-31 03:00:00+00:00,2025-10-31 04:00:00+00:00,108827.5,109327.5,109327.5,108410.77383871409,-500.0,1,stop_loss
2025-10-31 07:00:00+00:00,2025-10-31 09:00:00+00:00,109615.5,110115.5,110115.5,109219.85844024172,-500.0,2,stop_loss
2025-10-31 16:00:00+00:00,2025-10-31 16:00:00+00:00,110171.0,109357.22374931694,110671.0,109357.22374931694,813.7762506830622,0,take_profit
2025-11-05 08:00:00+00:00,2025-11-05 08:00:00+00:00,101956.0,101188.4846668615,102456.0,101188.4846668615,767.5153331384936,0,take_profit
2025-11-08 00:00:00+00:00,2025-11-08 00:00:00+00:00,103315.0,102614.4443320828,103815.0,102614.4443320828,700.5556679172005,0,take_profit
2025-11-10 06:00:00+00:00,2025-11-10 09:00:00+00:00,106061.0,106561.0,106561.0,105736.22632545824,-500.0,3,stop_loss
2025-11-15 05:00:00+00:00,2025-11-15 08:00:00+00:00,96086.5,95664.80111691914,96586.5,95664.80111691914,421.698883080855,3,take_profit
2025-11-15 15:00:00+00:00,2025-11-15 16:00:00+00:00,96212.0,95776.88714032146,96712.0,95776.88714032146,435.112859678542,1,take_profit
2025-11-16 04:00:00+00:00,2025-11-16 09:00:00+00:00,95791.5,96291.5,96291.5,95705.73405279283,-500.0,5,stop_loss
2025-11-17 02:00:00+00:00,2025-11-17 02:00:00+00:00,94743.0,95243.0,95243.0,94067.24804177371,-500.0,0,stop_loss
2025-11-17 05:00:00+00:00,2025-11-17 07:00:00+00:00,95077.0,95577.0,95577.0,94758.79763100686,-500.0,2,stop_loss
2025-11-18 20:00:00+00:00,2025-11-19 00:00:00+00:00,93157.0,92329.99491709843,93657.0,92329.99491709843,827.0050829015672,4,take_profit
2025-11-21 23:00:00+00:00,2025-11-21 23:00:00+00:00,84268.5,84768.5,84768.5,83854.08239174772,-500.0,0,stop_loss
2025-11-22 16:00:00+00:00,2025-11-22 16:00:00+00:00,84247.5,84747.5,84747.5,83905.22606710551,-500.0,0,stop_loss
2025-11-22 18:00:00+00:00,2025-11-22 20:00:00+00:00,84524.0,84212.4699665451,85024.0,84212.4699665451,311.5300334548956,2,take_profit
2025-11-23 15:00:00+00:00,2025-11-23 15:00:00+00:00,86521.5,87021.5,87021.5,86179.40542056639,-500.0,0,stop_loss
